,pid,stimulus_number,coordinates,current_time,current_time1,geometry,define.1,input.1,num-1.1,num-2.1,  .1,cond.1,-----------.1,    .1,zero.1,num-1.2,+.1,1.1,num-2.2,1.2,-----------.3,    .2,zero.2,num-2.3,input.2,-.1,num-1.3,1.3,1.4,nan.5,    .3,else.1,input.3,-.2,num-1.4,1.5,input.4,num-1.5,-.3,num-2.4,1.6,).1,).2,].1,).3,).4,question,code,choices
0,4,30,"{'x': 769.4154333244269, 'y': 410.91615282684063, 'elapsedTime': 39657}",9255206198,2034288056,POINT (0.4007372048564724 0.3804779192841117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 769.4154333244269, 'y': 410.91615282684063, 'elapsedTime': 39657}",9255222865,2034304723,POINT (0.4007372048564724 0.3804779192841117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 769.4154333244269, 'y': 410.91615282684063, 'elapsedTime': 39657}",9255239531,2034321389,POINT (0.4007372048564724 0.3804779192841117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 769.4154333244269, 'y': 410.91615282684063, 'elapsedTime': 39657}",9255256199,2034338056,POINT (0.4007372048564724 0.3804779192841117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 769.4154333244269, 'y': 410.91615282684063, 'elapsedTime': 39657}",9255272866,2034354723,POINT (0.4007372048564724 0.3804779192841117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 769.4154333244269, 'y': 410.91615282684063, 'elapsedTime': 39657}",9255289533,2034371389,POINT (0.4007372048564724 0.3804779192841117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 769.4154333244269, 'y': 410.91615282684063, 'elapsedTime': 39657}",9255306200,2034388056,POINT (0.4007372048564724 0.3804779192841117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 769.4154333244269, 'y': 410.91615282684063, 'elapsedTime': 39657}",9255322876,2034404731,POINT (0.4007372048564724 0.3804779192841117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 769.4154333244269, 'y': 410.91615282684063, 'elapsedTime': 39657}",9255339542,2034421397,POINT (0.4007372048564724 0.3804779192841117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 769.4154333244269, 'y': 410.91615282684063, 'elapsedTime': 39657}",9255356210,2034438064,POINT (0.4007372048564724 0.3804779192841117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
